OBJECTID,ID,Name,LastUpdated,Area,Length
25,296276,Lanhydrock,12/20/2016 3:45:35 PM,117214.556616783,2607.76078717101
26,296089,Greenway,12/20/2016 3:45:35 PM,125660.443125725,2149.16972243926
27,171776,Stourhead,12/20/2016 3:45:35 PM,115071.36926651,4139.85724978927
28,290069,Prior Park,12/20/2016 3:45:35 PM,113260.840545654,1615.42281229967
29,159198,Cotehele,12/20/2016 3:45:35 PM,111364.669915199,1658.66306355904
30,214252,Golden Cap,12/20/2016 3:45:35 PM,104057.367277145,1441.43060404491
31,165264,St Michael's Mount,12/20/2016 3:45:35 PM,90526.1281561852,1884.72357513091
32,42406,Saltram,12/20/2016 3:45:35 PM,75959.5934963226,1741.92031193265
33,155681,Golden Cap,12/20/2016 3:45:35 PM,71201.5805416107,1334.70911850584
34,155713,Burton Bradstock,12/20/2016 3:45:35 PM,67104.439655304,1108.85943810598
35,117949,Lydford Gorge,12/20/2016 3:45:35 PM,67163.4065570831,1922.20811637077
36,155689,Lambert's and Coney's Castle,12/20/2016 3:45:35 PM,85598.180809021,2114.27323677294
37,40425,Stourhead,12/20/2016 3:45:35 PM,44392.6119384766,1085.72068551648
38,164836,Trelissick,12/20/2016 3:45:35 PM,45789.4919338226,1231.01829811633
39,156235,Trerice,12/20/2016 3:45:35 PM,39218.4565868378,1064.70559369977
40,172193,Montacute House,12/20/2016 3:45:35 PM,40490.9056625366,1632.08799909628
41,40648,"Courts, Holt",12/20/2016 3:45:35 PM,27662.0295448303,814.099497937507
42,40651,Great Chalfield Manor & Garden,12/20/2016 3:45:35 PM,30241.6025543213,794.078793635311
43,169509,Clouds Hill,12/20/2016 3:45:35 PM,19360.2249526978,620.083394637234
44,155707,Ringstead Bay,12/20/2016 3:45:35 PM,21706.5405578613,627.391729279771
45,165248,Mullion and Poldhu,12/20/2016 3:45:35 PM,20439.8013412952,831.809586533312
46,296962,Trerice,12/20/2016 3:45:35 PM,21008.6533460617,709.024472996751
47,40064,Tintinhull House and Garden,12/20/2016 3:45:35 PM,16420.440448761,710.18104575151
48,42615,Compton Castle,12/20/2016 3:45:35 PM,14383.1180305481,536.601648542398
49,45169,Overbeck's,12/20/2016 3:45:35 PM,11653.1155118942,586.453035142914
50,162372,Buckland Abbey,12/20/2016 3:45:35 PM,18554.3889274597,652.101144087338
51,155680,Corfe Castle,12/20/2016 3:45:35 PM,15638.946056366,578.471921131542
52,42042,Holnicote,12/20/2016 3:45:35 PM,10724.9743843079,496.591692773187
53,296593,A La Ronde,12/20/2016 3:45:35 PM,11667.9827404022,551.708040701471
54,45020,Shute Barton,12/20/2016 3:45:35 PM,9045.69076728821,744.675847385244
55,,Bradley Manor,4/28/2017 11:59:28 AM,9799.77997398376,409.419342685814
56,202418,Dinton Park and Philipps House,12/20/2016 3:45:35 PM,3234.15088272095,238.045270305782
57,127236,Hardy's Cottage,12/20/2016 3:45:35 PM,3862.84956359863,307.9297459756
58,40058,"Treasurer's House, Martock",12/20/2016 3:45:35 PM,2606.36670303345,220.224153394018
59,171866,Stourhead,12/20/2016 3:45:35 PM,4156.15774536133,272.452261674275
60,127216,Mompesson House,12/20/2016 3:45:35 PM,1330.68078231812,170.543480374586
61,40057,Stoke-Sub-Hamdon Priory,12/20/2016 3:45:35 PM,350.396255493164,116.398449484995
62,40172,Stembridge Tower Mill,12/20/2016 3:45:35 PM,1538.88194656372,154.418077127528
63,40297,"Priest's House, Muchelney",12/20/2016 3:45:35 PM,632.966674804688,105.535729807744
64,172194,Barrington Court,12/20/2016 3:45:35 PM,659.402858734131,149.577852703805
65,40125,King John's Hunting Lodge,12/20/2016 3:45:35 PM,111.67151260376,43.8629740851018
66,127251,Widecombe in the Moor,12/20/2016 3:45:35 PM,646.140726089478,111.923164251341
67,43475,Fowey,12/20/2016 3:45:35 PM,846.050681114197,123.797317502522
68,177366,Cubert and The Kelseys,12/20/2016 3:45:35 PM,343.293603897095,67.6798437993526
69,165235,East Pool Mine,12/20/2016 3:45:35 PM,486.443491458893,89.3412705684966
70,202420,Dinton Park and Philipps House,12/20/2016 3:45:35 PM,1238.22470092773,147.274692465163
71,988991,Polden Hills,12/20/2016 3:45:35 PM,4155.5884552002,257.294475209969
72,1069777,Fyne Court,12/20/2016 3:45:35 PM,78280.0551757813,1516.94913090324
73,1175008,Middlebere and Hartland,12/20/2016 3:45:35 PM,490769.883638382,3556.36813702784
74,1230177,Golden Cap,12/20/2016 3:45:35 PM,3867204.09396172,20783.4110555809
75,1285489,Lambert's and Coney's Castle,12/20/2016 3:45:35 PM,82849.0758991241,1299.89100512064
76,1285526,Middlebere and Hartland,12/20/2016 3:45:35 PM,872135.312633514,7667.66049032628
77,1619036,West Bexington and Cogden,12/20/2016 3:45:35 PM,24186.948551178,713.381820881381
78,1756593,Lytes Cary Manor,12/20/2016 3:45:35 PM,21259.1985092163,624.053212915444
79,2117252,Golden Cap,12/20/2016 3:45:35 PM,12224.6974906921,612.26551288647
80,2117256,Golden Cap,12/20/2016 3:45:35 PM,31124.3413295746,1148.71336551387
81,2267000,Dinton Park and Philipps House,12/20/2016 3:45:35 PM,523154.308223724,3904.07289414893
82,2267002,Dinton Park and Philipps House,12/20/2016 3:45:35 PM,40812.1351699829,796.058674170696
83,40229,Shirehampton Park,12/20/2016 3:45:35 PM,366251.965492249,3053.442733846
84,127471,Ebworth,12/20/2016 3:45:35 PM,3340847.0619278,11722.1226012655
85,225153,Dyrham,12/20/2016 3:45:35 PM,1066520.5078125,5308.29959269865
86,40513,Horton Court,12/20/2016 3:45:35 PM,342643.551826477,2965.91354148451
87,127444,Ebworth,12/20/2016 3:45:35 PM,213685.277694702,1819.1334726502
88,40615,Wotton-under-Edge,12/20/2016 3:45:35 PM,170520.451927185,3227.71136817546
89,177248,Hidcote,12/20/2016 3:45:35 PM,59687.9456253052,1176.70772468259
90,127443,Ebworth,12/20/2016 3:45:35 PM,47250.53490448,1014.6604655323
91,40135,Clevedon Court,12/20/2016 3:45:35 PM,43503.6882514954,1108.92495194163
92,40679,Lacock,12/20/2016 3:45:35 PM,46543.8655090332,1742.70365531867
93,127442,Chedworth Roman Villa,12/20/2016 3:45:35 PM,26562.3260574341,751.369607410913
94,127447,Ebworth,12/20/2016 3:45:35 PM,27995.2440567017,807.483125148364
95,157838,Sherborne Park,12/20/2016 3:45:35 PM,16437.2812576294,643.984503341138
96,127441,Westbury Court Garden,12/20/2016 3:45:35 PM,19090.2002487183,591.18814489636
97,127413,Snowshill Manor and Garden,12/20/2016 3:45:35 PM,1811.51188659668,193.685442053644
98,187157,Snowshill Manor and Garden,12/20/2016 3:45:35 PM,1057.03579711914,186.37557349963
99,127421,Ashleworth Tithe Barn,12/20/2016 3:45:35 PM,607.621307373047,107.612867618541
100,117541,Horton Court,12/20/2016 3:45:35 PM,718.347564697266,118.436747769234
101,117543,Horton Court,12/20/2016 3:45:35 PM,154.287307739258,51.9646764070103
102,171984,Westbury College Gatehouse,12/20/2016 3:45:35 PM,953.791370391846,148.79649538668
103,,Avebury,4/28/2017 11:59:28 AM,15255.0217132568,547.041043523553
104,,Ringstead Bay,4/28/2017 11:59:28 AM,518093.533159256,4062.83030827021
105,40925,Middle Hope,12/20/2016 3:45:35 PM,605081.694797516,7187.92402287445
106,225178,Bath Skyline,12/20/2016 3:45:35 PM,79153.8296508789,1612.13137268975
107,127503,Northey Island,12/20/2016 3:45:35 PM,1021870.66246033,8671.90680185451
108,127488,Ashridge Estate,12/20/2016 3:45:35 PM,788920.857162476,5650.02941025234
109,296016,Ashridge Estate,12/20/2016 3:45:35 PM,511369.465171814,3727.75061544624
110,127493,Blake's Wood,12/20/2016 3:45:35 PM,414239.965675354,3601.68108158167
111,127492,Ashridge Estate,12/20/2016 3:45:35 PM,388454.556312561,3219.89548559918
112,127485,Ray Island,12/20/2016 3:45:35 PM,385448.340858459,5089.43652828491
113,127491,Ashridge Estate,12/20/2016 3:45:35 PM,186092.908973694,2173.48353912282
114,127496,Northey Island,12/20/2016 3:45:35 PM,162941.13974762,2134.36518145068
